sunhl-1th-02-Jan-2017-162 A AP.jpg,sunhl-1th-02-Jan-2017-162 A AP.jpg.mat,0.47815,0.66623,0.4649,0.6596,0.46358,0.63841,0.4543,0.61854,0.45828,0.62517,0.44238,0.61325,0.44901,0.60132,0.42649,0.59603,0.41987,0.61457,0.40132,0.59073,0.40265,0.56424,0.3894,0.5457,0.38675,0.56159,0.33377,0.50066,0.31126,0.48212,0.25563,0.4649,0.078118,0.15482,0.072941,0.15294,0.079529,0.15529,0.091294,0.16894,0.095529,0.17129,0.11388,0.19247,0.13365,0.19859,0.152,0.224,0.15812,0.23482,0.17835,0.26494,0.18259,0.26494,0.19294,0.27341,0.18353,0.26118,0.18024,0.26965,0.16376,0.25976,0.152,0.24706
sunhl-1th-02-Jan-2017-162 B AP.jpg,sunhl-1th-02-Jan-2017-162 B AP.jpg.mat,0.50557,0.65584,0.48887,0.64935,0.48145,0.64471,0.46753,0.64007,0.45269,0.62059,0.44341,0.60482,0.41095,0.58905,0.38033,0.57328,0.36456,0.56308,0.33952,0.55844,0.32839,0.56308,0.29314,0.53432,0.26623,0.53896,0.23469,0.52505,0.22913,0.52412,0.22449,0.51577,0.10152,0.23519,0.12733,0.24027,0.13917,0.21024,0.17386,0.23773,0.18697,0.24873,0.22673,0.29146,0.23477,0.30499,0.25212,0.32614,0.26607,0.34433,0.27411,0.35787,0.272,0.3621,0.26269,0.35364,0.24873,0.34433,0.22631,0.31937,0.21024,0.30795,0.19289,0.2978
sunhl-1th-03-Jan-2017-163 A AP.jpg,sunhl-1th-03-Jan-2017-163 A AP.jpg.mat,0.30297,0.60792,0.30297,0.59406,0.31485,0.57624,0.31683,0.56634,0.32673,0.56634,0.32277,0.56634,0.29901,0.5604,0.29109,0.55644,0.28713,0.54059,0.29109,0.54059,0.29109,0.53861,0.29505,0.54257,0.29703,0.54455,0.30495,0.54257,0.30495,0.54455,0.29505,0.54059,0.095623,0.17643,0.09697,0.17778,0.090236,0.17306,0.087542,0.17172,0.080135,0.16835,0.079461,0.16835,0.072727,0.16364,0.06734,0.16566,0.062626,0.167,0.061279,0.1596,0.056566,0.16229,0.049158,0.15892,0.043771,0.16229,0.042424,0.17037,0.039057,0.17912,0.044444,0.18653
sunhl-1th-03-Jan-2017-163 B AP.jpg,sunhl-1th-03-Jan-2017-163 B AP.jpg.mat,0.50095,0.7581,0.50476,0.74857,0.52762,0.74286,0.51048,0.73905,0.5181,0.75619,0.48,0.76,0.47238,0.73333,0.47048,0.74857,0.4781,0.71048,0.46476,0.71619,0.4781,0.69905,0.46857,0.67048,0.46095,0.6781,0.45143,0.6781,0.3981,0.66667,0.3981,0.65143,0.11387,0.20802,0.11387,0.19847,0.10178,0.18639,0.10305,0.18957,0.090967,0.17939,0.089695,0.17366,0.080153,0.16921,0.069338,0.1673,0.054071,0.16221,0.052799,0.16858,0.055344,0.16667,0.07888,0.17303,0.10623,0.20293,0.12277,0.20674,0.12405,0.21883,0.1285,0.20611
sunhl-1th-03-Jan-2017-164 A AP.jpg,sunhl-1th-03-Jan-2017-164 A AP.jpg.mat,0.40951,0.67824,0.41499,0.67642,0.40768,0.65996,0.42596,0.65265,0.43876,0.63803,0.44059,0.6362,0.42413,0.61609,0.43327,0.61426,0.40951,0.6234,0.40768,0.61974,0.40768,0.60146,0.39854,0.60146,0.39854,0.58318,0.3638,0.62888,0.3766,0.58501,0.36746,0.62706,0.11297,0.17173,0.10385,0.1773,0.11499,0.16768,0.10233,0.18085,0.11094,0.17173,0.10132,0.17579,0.10132,0.17832,0.097264,0.17224,0.091185,0.17427,0.095238,0.1844,0.097771,0.18693,0.091185,0.19352,0.10284,0.2001,0.10132,0.20314,0.10436,0.2077,0.10689,0.21429
sunhl-1th-03-Jan-2017-165 A AP.jpg,sunhl-1th-03-Jan-2017-165 A AP.jpg.mat,0.1845,0.42251,0.18635,0.41697,0.19557,0.39299,0.19557,0.3893,0.19373,0.40406,0.20295,0.41144,0.21033,0.42066,0.24354,0.4428,0.26937,0.45018,0.30812,0.49631,0.3524,0.50923,0.40406,0.54982,0.43173,0.57011,0.46679,0.64207,0.47417,0.68266,0.48155,0.71956,0.16624,0.24713,0.16624,0.24713,0.15987,0.23694,0.15223,0.23312,0.1465,0.22675,0.13822,0.2172,0.13694,0.21401,0.13376,0.20892,0.12548,0.21783,0.12611,0.20892,0.12229,0.21338,0.13185,0.2121,0.12166,0.21656,0.12548,0.22293,0.11847,0.22866,0.12548,0.23885
sunhl-1th-04-Jan-2017-165 B AP.jpg,sunhl-1th-04-Jan-2017-165 B AP.jpg.mat,0.38556,0.6129,0.41167,0.59447,0.40707,0.58525,0.40092,0.58372,0.38863,0.56682,0.3871,0.54839,0.38402,0.53456,0.37174,0.52381,0.37942,0.52227,0.37634,0.52227,0.38863,0.53149,0.41167,0.55146,0.42396,0.56221,0.45161,0.59754,0.47158,0.61444,0.49002,0.67742,0.19633,0.26552,0.2058,0.27439,0.20343,0.26611,0.18746,0.26138,0.178,0.24837,0.16677,0.23536,0.15021,0.22768,0.14193,0.21289,0.14075,0.20639,0.13247,0.21112,0.12833,0.19988,0.12064,0.18924,0.11354,0.18569,0.11295,0.18746,0.11591,0.18687,0.11413,0.19101
sunhl-1th-04-Jan-2017-165 C AP.jpg,sunhl-1th-04-Jan-2017-165 C AP.jpg.mat,0.29032,0.55857,0.29202,0.5399,0.29542,0.5365,0.29202,0.52122,0.29711,0.49915,0.29542,0.48217,0.29032,0.4635,0.29202,0.4584,0.29542,0.4652,0.26825,0.50085,0.31239,0.51443,0.34295,0.54329,0.37012,0.59932,0.42954,0.62818,0.44822,0.691,0.45161,0.72326,0.15302,0.25014,0.16149,0.24506,0.15528,0.22868,0.13721,0.21513,0.13495,0.21005,0.12705,0.19932,0.12253,0.19424,0.12084,0.18125,0.10898,0.18803,0.11745,0.18464,0.1135,0.19085,0.11124,0.19142,0.11745,0.19142,0.12366,0.2061,0.12987,0.20497,0.11293,0.22247
sunhl-1th-05-Jan-2017-167 A AP.jpg,sunhl-1th-05-Jan-2017-167 A AP.jpg.mat,0.53867,0.66879,0.53867,0.67607,0.5414,0.66697,0.53412,0.67607,0.53139,0.67152,0.52229,0.64513,0.52229,0.64786,0.49864,0.6333,0.48226,0.60055,0.46042,0.58144,0.46042,0.5414,0.42311,0.5505,0.42038,0.54322,0.38763,0.50591,0.3758,0.49136,0.35669,0.45587,0.13514,0.18305,0.099918,0.1466,0.056102,0.12121,0.038903,0.11794,0.029484,0.11466,0.014333,0.11261,0.020885,0.11794,0.04136,0.13063,0.072072,0.14046,0.11138,0.15848,0.138,0.17649,0.1679,0.20106,0.18305,0.22973,0.21171,0.28419,0.23751,0.30753,0.24283,0.33129
sunhl-1th-05-Jan-2017-167 B AP.jpg,sunhl-1th-05-Jan-2017-167 B AP.jpg.mat,0.49353,0.66169,0.50149,0.64677,0.50149,0.65174,0.51443,0.66667,0.49652,0.65672,0.49353,0.6597,0.4806,0.6408,0.4806,0.61791,0.49055,0.60697,0.45771,0.6,0.4597,0.58706,0.43085,0.56617,0.42587,0.54527,0.4,0.54527,0.3791,0.5403,0.36617,0.50348,0.13339,0.18562,0.11571,0.17919,0.10526,0.16794,0.073925,0.15428,0.069506,0.14062,0.047409,0.12294,0.032945,0.12174,0.025713,0.11973,0.02491,0.12455,0.036561,0.13057,0.040579,0.14022,0.075131,0.15468,0.0908,0.16191,0.12656,0.18923,0.14544,0.21213,0.17477,0.25633
